periodo;concepto;modelo_negocio;penetracion
2018Q2;Penetracion modelo de negocio;SVOD;58%
2018Q4;Penetracion modelo de negocio;SVOD;63%
2019Q2;Penetracion modelo de negocio;SVOD;73%
2019Q4;Penetracion modelo de negocio;SVOD;73%
2020Q1;Penetracion modelo de negocio;SVOD;75%
2020Q2;Penetracion modelo de negocio;SVOD;73%
2020Q3;Penetracion modelo de negocio;SVOD;73%
2020Q4;Penetracion modelo de negocio;SVOD;73%
2021Q1;Penetracion modelo de negocio;SVOD;74%
2021Q2;Penetracion modelo de negocio;SVOD;75%
2021Q3;Penetracion modelo de negocio;SVOD;74%
2021Q4;Penetracion modelo de negocio;SVOD;75%
2022Q1;Penetracion modelo de negocio;SVOD;83 %
2022Q2;Penetracion modelo de negocio;SVOD;75 %
2022Q3;Penetracion modelo de negocio;SVOD;78 %
2022Q4;Penetracion modelo de negocio;SVOD;79 %
2018Q2;Penetracion modelo de negocio;FVOD;32%
2018Q4;Penetracion modelo de negocio;FVOD;32%
2019Q2;Penetracion modelo de negocio;FVOD;74%
2019Q4;Penetracion modelo de negocio;FVOD;77%
2020Q1;Penetracion modelo de negocio;FVOD;74%
2020Q2;Penetracion modelo de negocio;FVOD;77%
2020Q3;Penetracion modelo de negocio;FVOD;30%
2020Q4;Penetracion modelo de negocio;FVOD;30%
2021Q1;Penetracion modelo de negocio;FVOD;26%
2021Q2;Penetracion modelo de negocio;FVOD;26%
2021Q3;Penetracion modelo de negocio;FVOD;27%
2021Q4;Penetracion modelo de negocio;FVOD;22%
2022Q1;Penetracion modelo de negocio;FVOD;33 %
2022Q2;Penetracion modelo de negocio;FVOD;23 %
2022Q3;Penetracion modelo de negocio;FVOD;26 %
2022Q4;Penetracion modelo de negocio;FVOD;20,9 %
2018Q2;Penetracion modelo de negocio;AVOD;
2018Q4;Penetracion modelo de negocio;AVOD;
2019Q2;Penetracion modelo de negocio;AVOD;
2019Q4;Penetracion modelo de negocio;AVOD;
2020Q1;Penetracion modelo de negocio;AVOD;
2020Q2;Penetracion modelo de negocio;AVOD;
2020Q3;Penetracion modelo de negocio;AVOD;67.52 %
2020Q4;Penetracion modelo de negocio;AVOD;68.45 %
2021Q1;Penetracion modelo de negocio;AVOD;66.06 %
